Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Physical_Achievement_Percent,Beneficiaries_Target,Beneficiaries_Covered,Beneficiary_Coverage_Percent,Status
2023-24,2023-10-08,Bihar, Patna,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,613.53,475.29,263.16,55.37,429,393.0,91.6083916083916,4346,4148.0,95.44408651633685,Ongoing
2024-25,2024-06-19,Tamil Nadu,Coimbatore ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,127.03,85.5,75.18,87.93,249,248.0,99.59839357429718,3330,3219.0,96.66666666666667,Completed
2022-23,2023-08-18,Rajasthan,Udaipur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),136.3,75.25,174.44,81.965,47,12.0,25.53191489361702,4332,1120.0,25.85410895660203,Delayed
2023-24,2024-09-07,West Bengal,Kolkata,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),341.48,200.43,180.67,90.14,224,167.0,74.55357142857143,4423,3037.0,68.66380284874519,Ongoing
2021-22,2024-08-26,Kerala,Thiruvananthapuram ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,428.2,396.59,296.62,74.79,306,183.0,59.80392156862745,2631,1616.0,61.42151273280122,Ongoing
2024-25,2022-11-07,Kerala,Kozhikode,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,536.97,318.1,240.55,75.62,19,11.0,57.89473684210527,2198,1202.0,54.68607825295724,Ongoing
2023-24,2021-04-03,Kerala,Kozhikode,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,624.59,582.41,247.94,42.57,151,82.0,54.3046357615894,1669,843.0,50.50928699820252,Delayed
2021-22,2022-11-10,Karnataka,Belagavi ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,711.78,445.01,419.78,94.33,377,377.0,100.0,54,53.0,98.14814814814815,Completed
2024-25,2022-11-10,Kerala,Kollam,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),386.67,360.47,267.27,74.14,417,310.0,74.34052757793765,4196,3111.0,74.14204003813155,Ongoing
2024-25,2021-07-30,Rajasthan,Ajmer,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,333.67,213.72,149.77,70.08,14,6.0,42.857142857142854,4313,1687.0,39.11430558775794,Ongoing
2021-22,2022-11-08,Maharashtra,Kolhapur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,566.18,478.62,365.29,76.32,157,53.0,33.75796178343949,349,113.0,32.37822349570201,Ongoing
2022-23,2023-03-05,Tamil Nadu,Madurai,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,22.13,17.87,12.73,71.24,223,152.0,68.16143497757847,476,296.0,62.18487394957983,Ongoing
2022-23,2024-04-10,West Bengal,Asansol,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),NGO / Partner Organisation,765.76,551.79,510.74,92.56,180,121.0,67.22222222222223,2677,1656.0,61.86029137093762,Ongoing
2022-23,2022-09-13,Rajasthan, Jodhpur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,628.62,366.34,115.01,31.39,323,35.0,10.8359133126935,1910,194.0,10.157068062827225,Delayed
2024-25,2022-01-29,Rajasthan,Jodhpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,90.12,87.76,69.45,79.14,393,361.0,91.85750636132316,1392,1209.0,86.85344827586206,Ongoing
2022-23,2024-04-14,Bihar,Muzaffarpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,588.31,505.73,265.98,52.59,367,25.0,6.811989100817439,219,15.0,6.8493150684931505,Ongoing
2022-23,2021-09-10,Karnataka,Belagavi,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,205.92,181.45,57.94,31.93,319,160.0,50.15673981191222,2108,1043.0,49.47817836812145,Ongoing
2024-25,2021-08-22,Uttar Pradesh,Lucknow,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,428.33,270.99,268.07,98.92,212,211.0,99.52830188679245,2788,2660.0,95.40889526542324,Completed
2022-23,2023-03-13,Bihar,Bhagalpur ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,702.84,477.29,339.69,71.17,120,82.0,68.33333333333333,999,657.0,65.76576576576578,Delayed
2022-23,2022-07-14,Maharashtra,Nagpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),162.8,83.69,83.6,99.89,214,129.0,60.280373831775705,3747,3592.0,95.8633573525487,Completed
2023-24,2023-02-23,Uttar Pradesh,Agra,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,235.89,148.22,146.24,98.66,28,7.0,25.0,3716,879.0,23.654467168998924,Ongoing
2023-24,2023-06-12,Maharashtra,kolhapur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),311.22,170.04,137.55,80.89,270,122.0,45.18518518518518,3740,1666.0,44.54545454545455,Delayed
2021-22,2023-11-16,West Bengal,Durgapur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,226.56,213.17,104.58,49.06,263,72.0,27.376425855513308,1935,531.0,27.44186046511628,Ongoing
2023-24,2024-04-26,Karnataka,Bengaluru,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,208.28,188.17,166.89,88.69,86,129.0,150.0,1142,1143.0,100.0875656742557,Completed
2023-24,2024-10-18,Kerala,Thiruvananthapuram,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,43.68,37.38,33.76,90.32,280,280.0,100.0,1195,1193.0,99.8326359832636,Completed
2024-25,2022-04-13,Uttar Pradesh,Varanasi,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,264.47,164.6,174.44,81.965,214,213.0,99.53271028037383,234,224.0,95.72649572649573,Completed
2023-24,2023-04-16,Kerala,Kozhikode,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,604.36,449.78,425.07,94.51,329,327.0,99.3920972644377,3299,3193.0,96.78690512276448,Completed
2024-25,2021-09-22,Karnataka,mangaluru,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,622.27,566.44,427.15,75.41,92,25.0,27.173913043478258,1879,469.0,24.960085151676424,Delayed
2023-24,2023-10-25,Tamil Nadu,Coimbatore,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,35.35,30.03,28.26,94.11,107,6.0,5.607476635514018,4170,222.0,5.323741007194244,Ongoing
2024-25,2021-08-27,Karnataka,Belagavi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),292.75,203.15,74.45,36.65,284,100.0,35.2112676056338,4683,1202.0,25.66730728165706,Ongoing
2021-22,2025-03-11,Karnataka,Mysuru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,88.81,85.28,81.98,96.13,149,147.0,98.65771812080537,3559,3193.0,89.71621241921888,Completed
2022-23,2022-08-14,West Bengal,Asansol ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,133.32,117.38,116.3,99.08,117,12.0,10.256410256410255,611,64.0,10.474631751227497,Delayed
2022-23,2023-07-12,Tamil Nadu, Salem,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,40.06,27.05,15.89,58.74,128,129.0,100.78125,2451,863.0,35.21011831905344,Delayed
2024-25,2025-01-21,Madhya Pradesh,Ujjain,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,633.53,324.69,174.44,81.965,261,101.0,38.69731800766284,378,135.0,35.714285714285715,Delayed
2024-25,2023-04-26,Uttar Pradesh,meerut,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,435.23,384.93,383.58,99.65,65,23.0,35.38461538461539,4265,1428.0,33.48182883939039,Delayed
2024-25,2023-11-09,Bihar,Darbhanga,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,687.19,370.29,192.38,51.95,422,120.0,28.436018957345972,1052,305.0,28.99239543726236,Delayed
2021-22,2025-02-20,Bihar,Muzaffarpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,224.96,202.22,183.63,90.81,408,406.0,99.50980392156863,1803,1779.0,98.66888519134775,Completed
2022-23,2023-12-02,Gujarat,Vadodara,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),415.05,372.0,370.98,99.73,424,424.0,100.0,3798,3816.0,100.4739336492891,Completed
2021-22,2022-12-12,Kerala,kochi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),152.62,117.92,38.56,32.7,179,33.0,18.435754189944134,1098,202.0,18.397085610200364,Ongoing
2023-24,2024-09-12,Tamil Nadu,chennai,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,313.35,160.8,78.72,48.96,101,40.0,39.603960396039604,102,39.0,38.23529411764706,Ongoing
2024-25,2025-03-19,Maharashtra,Kolhapur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,424.72,351.05,334.51,95.29,176,174.0,98.86363636363636,1706,1725.0,101.11371629542789,Completed
2022-23,2022-05-20,Gujarat, Rajkot,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),NGO / Partner Organisation,138.71,76.5,26.49,34.63,71,61.0,85.91549295774648,4940,4322.0,87.48987854251013,Delayed
2021-22,2023-05-05,Maharashtra,Nashik,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,554.36,541.62,0.0,0.0,148,0.0,0.0,4616,0.0,0.0,Not Started
2023-24,2022-05-12,Bihar,bhagalpur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,93.6,85.22,83.01,97.41,396,396.0,100.0,4135,3950.0,95.52599758162032,Completed
2023-24,2021-07-07,Uttar Pradesh,Varanasi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),133.3,118.67,0.0,0.0,78,0.0,0.0,2107,0.0,0.0,Not Started
2021-22,2024-12-15,Maharashtra,Nagpur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),397.61,273.76,255.77,93.43,238,152.0,63.86554621848739,723,446.0,61.68741355463347,Delayed
2023-24,2023-02-02,West Bengal,howrah,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,95.14,53.8,33.67,62.58,420,166.0,39.523809523809526,4314,1739.0,40.31061659712564,Ongoing
2023-24,2021-10-22,Maharashtra,Kolhapur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),239.28,138.21,124.53,90.1,249,249.0,100.0,3501,3358.0,95.91545272779206,Completed
2021-22,2022-02-06,Kerala,Kochi,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),NGO / Partner Organisation,667.91,570.48,510.6,89.5,288,287.0,99.65277777777779,3555,3572.0,100.47819971870604,Completed
2022-23,2024-04-29,Kerala,Thrissur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),326.21,173.43,168.3,97.04,125,125.0,100.0,3658,3659.0,100.02733734281028,Completed
2023-24,2025-02-15,Rajasthan,Jodhpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Urban Local Body (ULB),573.52,298.44,269.35,90.25,200,183.0,91.5,2716,2488.0,91.60530191458027,Ongoing
2021-22,2022-08-12,Rajasthan,Udaipur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),132.02,101.1,99.23,98.15,451,449.0,99.55654101995566,2139,2076.0,97.054698457223,Completed
2024-25,2021-06-11,Gujarat,ahmedabad,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,221.81,200.38,0.0,0.0,180,0.0,0.0,2893,0.0,0.0,Not Started
2024-25,2022-06-07,Madhya Pradesh,Ujjain,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,715.27,378.58,374.16,98.83,109,108.0,99.08256880733946,4125,1202.0,29.139393939393937,Completed
2023-24,2022-09-10,Kerala,kozhikode,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,392.61,281.35,174.44,81.965,454,71.0,15.638766519823788,844,126.0,14.928909952606634,Ongoing
2024-25,2022-12-28,Bihar, Gaya,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Urban Local Body (ULB),361.43,339.76,296.52,87.27,241,239.0,99.1701244813278,2454,2409.0,98.16625916870416,Completed
2022-23,2022-07-19,Bihar,Bhagalpur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,720.22,448.61,161.64,36.03,484,37.0,7.644628099173553,3352,236.0,7.040572792362769,Ongoing
2024-25,2021-06-26,Rajasthan,Kota,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),NGO / Partner Organisation,680.01,569.06,441.07,77.51,214,204.0,95.32710280373831,1215,1150.0,94.65020576131687,Ongoing
2022-23,2025-03-20,Maharashtra,Nagpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,674.66,364.95,0.0,0.0,354,0.0,0.0,3172,0.0,0.0,Not Started
2021-22,2025-02-23,Karnataka,mysuru,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,654.73,466.55,234.26,50.21,434,279.0,64.28571428571429,623,411.0,65.97110754414125,Delayed
2023-24,2021-10-28,Madhya Pradesh,Gwalior,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,610.21,567.68,525.36,92.55,384,382.0,99.47916666666666,2681,2681.0,100.0,Completed
2022-23,2021-11-12,Rajasthan,Ajmer,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,401.05,239.15,231.97,97.0,256,255.0,99.609375,288,263.0,91.31944444444444,Completed
2023-24,2024-12-16,Bihar,Bhagalpur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,126.46,123.8,122.72,99.13,211,209.0,99.0521327014218,4873,1202.0,24.666529858403447,Completed
2024-25,2023-08-12,Madhya Pradesh,Ujjain,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,120.71,66.53,32.4,48.7,452,290.0,64.15929203539822,469,311.0,66.31130063965884,Delayed
2024-25,2024-01-07,Tamil Nadu,Madurai,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),NGO / Partner Organisation,755.99,534.69,398.26,74.48,145,20.0,13.793103448275861,3980,563.0,14.14572864321608,Ongoing
2022-23,2023-07-24,West Bengal,Howrah,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,427.82,302.61,275.92,91.18,363,361.0,99.44903581267218,4327,4336.0,100.20799630228797,Completed
2024-25,2021-04-25,Rajasthan,Jaipur ,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Urban Local Body (ULB),791.21,570.71,554.21,97.11,321,304.0,94.70404984423676,3038,2914.0,95.91836734693877,Delayed
2021-22,2021-10-12,Karnataka,Belagavi,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,448.15,334.32,328.45,98.24,106,104.0,98.11320754716981,2224,2117.0,95.18884892086331,Completed
2024-25,2024-03-22,Uttar Pradesh,Kanpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,491.97,332.74,0.0,0.0,442,0.0,0.0,2130,0.0,0.0,Not Started
2022-23,2023-12-14,Maharashtra,Pune,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,592.71,501.02,310.45,61.96,337,210.0,62.31454005934718,1372,811.0,59.110787172011655,Ongoing
2021-22,2024-12-30,West Bengal,Durgapur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,218.92,177.01,57.35,32.4,374,192.0,51.33689839572193,1091,521.0,47.75435380384968,Delayed
2023-24,2024-02-13,Tamil Nadu,tiruchirappalli,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),296.83,166.07,165.0,99.36,22,22.0,100.0,2797,2548.0,91.09760457633178,Completed
2024-25,2022-07-05,West Bengal,Siliguri,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),NGO / Partner Organisation,557.53,358.76,174.44,81.965,105,24.0,22.857142857142858,2216,483.0,21.796028880866423,Ongoing
2022-23,2021-10-31,Uttar Pradesh,Lucknow,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),247.03,124.08,117.08,94.36,165,163.0,98.7878787878788,2820,2654.0,94.11347517730496,Completed
2021-22,2024-08-21,Gujarat,Surat,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,21.72,19.48,19.41,99.64,72,129.0,179.16666666666669,3724,618.0,16.595059076262082,Ongoing
2021-22,2023-08-07,West Bengal,Durgapur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),NGO / Partner Organisation,606.58,462.86,408.36,88.23,168,61.0,36.30952380952381,336,119.0,35.41666666666667,Ongoing
2024-25,2023-08-26,Maharashtra,Kolhapur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),409.5,355.71,336.72,94.66,60,0.0,0.0,3157,0.0,0.0,Delayed
2021-22,2022-01-26,Karnataka,Belagavi ,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Urban Local Body (ULB),57.58,50.46,49.53,98.16,175,174.0,99.42857142857143,2157,2056.0,95.31757070004636,Completed
2024-25,2023-05-09,Madhya Pradesh,Gwalior,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,District Panchayat / Zilla Parishad,322.54,162.6,146.61,90.17,286,285.0,99.65034965034964,3610,3598.0,99.66759002770084,Completed
2022-23,2021-04-01,Gujarat,Surat,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,671.01,384.8,255.53,66.41,485,467.0,96.28865979381443,1287,1185.0,92.07459207459208,Ongoing
2024-25,2022-09-12,Gujarat,Surat,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,290.75,235.98,142.02,60.18,356,213.0,59.8314606741573,169,92.0,54.437869822485204,Delayed
2021-22,2023-10-01,Bihar,Patna,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,256.16,232.48,113.48,48.81,498,378.0,75.90361445783132,3711,2875.0,77.47237941255726,Ongoing
2024-25,2024-01-24,Bihar,muzaffarpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),564.12,312.39,182.06,58.28,274,108.0,39.416058394160586,758,286.0,37.73087071240106,Delayed
2021-22,2023-10-07,Maharashtra,Nagpur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,122.07,101.8,44.15,43.37,394,294.0,74.61928934010153,4976,3371.0,67.74517684887459,Delayed
2023-24,2024-03-17,Uttar Pradesh,Varanasi,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,302.71,212.07,0.0,0.0,214,0.0,0.0,322,0.0,0.0,Not Started
2022-23,2021-10-24,Tamil Nadu,tiruchirappalli,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,649.81,543.69,470.57,86.55,47,31.0,65.95744680851064,706,428.0,60.62322946175638,Ongoing
2022-23,2021-09-15,West Bengal,Siliguri,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,786.25,444.59,407.09,91.57,121,86.0,71.07438016528926,4110,2690.0,65.45012165450122,Ongoing
2021-22,2023-08-04,Rajasthan,Jaipur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),721.74,654.85,0.0,0.0,37,0.0,0.0,1974,0.0,0.0,Not Started
2022-23,2021-04-15,Rajasthan,Kota,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,196.28,143.77,80.39,55.92,155,128.0,82.58064516129032,1611,1337.0,82.99193047796399,Ongoing
2022-23,2021-11-12,West Bengal,Siliguri ,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),NGO / Partner Organisation,687.3,661.55,627.67,94.88,348,346.0,99.42528735632183,1990,1998.0,100.40201005025126,Completed
2023-24,2024-07-28,Uttar Pradesh,Kanpur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,392.1,199.18,162.73,81.7,59,47.0,79.66101694915254,721,548.0,76.00554785020805,Delayed
2022-23,2024-10-08,Madhya Pradesh,Ujjain,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,46.45,25.03,9.91,39.59,39,4.0,10.256410256410255,3992,393.0,9.844689378757515,Delayed
2022-23,2023-05-28,Madhya Pradesh,Jabalpur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,669.54,507.87,465.23,91.6,494,127.0,25.708502024291498,3641,963.0,26.448777808294427,Ongoing
2023-24,2023-12-24,Maharashtra,Aurangabad,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,45.01,35.72,31.94,89.42,143,143.0,100.0,4250,4144.0,97.50588235294117,Completed
2021-22,2021-06-23,Tamil Nadu,Chennai,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,78.06,73.96,66.2,89.51,287,287.0,100.0,4053,3859.0,95.21342215642734,Completed
2022-23,2024-06-16,Madhya Pradesh,Jabalpur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,88.9,83.1,49.68,59.78,337,53.0,15.727002967359049,301,44.0,14.61794019933555,Ongoing
2022-23,2024-02-06,Karnataka,Mangaluru,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,799.87,597.84,490.22,82.0,27,10.0,37.03703703703704,3004,1078.0,35.885486018641814,Delayed
2021-22,2025-02-27,Tamil Nadu, Chennai,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,636.74,561.87,559.66,99.61,8,7.0,87.5,728,626.0,85.98901098901099,Completed
2022-23,2023-10-20,Maharashtra,Aurangabad ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,338.29,314.09,274.39,87.36,49,28.0,57.14285714285714,257,137.0,53.30739299610895,Delayed
2023-24,2022-07-29,West Bengal,Kolkata,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,724.43,673.82,174.44,81.965,384,323.0,84.11458333333334,3984,3295.0,82.70582329317268,Ongoing
2024-25,2022-04-26,Tamil Nadu,Chennai,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,286.16,175.79,0.0,0.0,115,0.0,0.0,2248,0.0,0.0,Not Started
2024-25,2024-10-26,Uttar Pradesh,agra,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,109.11,59.0,58.35,98.9,442,440.0,99.5475113122172,3551,3500.0,98.5637848493382,Completed
2021-22,2024-01-10,Gujarat,Surat,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,710.1,470.89,152.32,32.35,117,100.0,85.47008547008546,582,453.0,77.83505154639175,Delayed
2023-24,2025-03-21,Tamil Nadu,Madurai,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,348.05,227.45,158.03,69.48,148,23.0,15.54054054054054,486,77.0,15.843621399176955,Ongoing
2023-24,2021-06-01,Tamil Nadu,Coimbatore,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,399.67,219.98,210.49,95.69,412,41.0,9.951456310679612,2146,224.0,10.43802423112768,Delayed
2024-25,2022-10-16,Rajasthan,Jodhpur ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,104.29,74.9,45.84,61.2,45,4.0,8.88888888888889,571,49.0,8.581436077057793,Delayed
